Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,14,0,66000.0,76397.58774994074,13101.142458966933,143859.34075003024,477.0,0.08197331067015702,0.0,83000,111000,126000,140000,143000,144000,144000,144000,144000,144000,144000
,Aggregated,14,0,66000.0,76397.58774994074,13101.142458966933,143859.34075003024,477.0,0.08197331067015702,0.0,83000,111000,126000,140000,143000,144000,144000,144000,144000,144000,144000
