Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737917564,10,,Aggregated,1.000000,0.000000,8100,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,31,0,8100.0,7647.443190750276,2250.984040903859,9913.751416024752,476.0
1737917565,10,,Aggregated,1.000000,0.000000,8100,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,31,0,8100.0,7647.443190750276,2250.984040903859,9913.751416024752,476.0
1737917566,10,,Aggregated,1.400000,0.000000,8100,8500,8600,8800,9000,9100,9900,9900,9900,9900,9900,32,0,8100.0,7689.814634009963,2250.984040903859,9913.751416024752,476.0
1737917567,10,,Aggregated,1.400000,0.000000,8100,8500,8600,8800,9000,9100,9900,9900,9900,9900,9900,32,0,8100.0,7689.814634009963,2250.984040903859,9913.751416024752,476.0
1737917568,10,,Aggregated,1.300000,0.000000,8100,8400,8600,8800,9000,9100,9900,9900,9900,9900,9900,33,0,8100.0,7700.536484766582,2250.984040903859,9913.751416024752,476.0
1737917569,10,,Aggregated,1.300000,0.000000,8100,8400,8600,8800,9000,9100,9900,9900,9900,9900,9900,33,0,8100.0,7700.536484766582,2250.984040903859,9913.751416024752,476.0
1737917570,10,,Aggregated,1.000000,0.000000,8100,8500,8600,8800,9000,9100,9900,9900,9900,9900,9900,35,0,8100.0,7714.489846353951,2250.984040903859,9913.751416024752,476.0
1737917571,10,,Aggregated,1.100000,0.000000,8000,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,37,0,8000.0,7718.093468392318,2250.984040903859,9913.751416024752,476.0
1737917572,10,,Aggregated,1.200000,0.000000,8000,8400,8600,8800,9000,9400,9900,9900,9900,9900,9900,40,0,8000.0,7768.97017803858,2250.984040903859,9913.751416024752,476.0
1737917573,10,,Aggregated,1.200000,0.000000,8000,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,41,0,8000.0,7782.549397281667,2250.984040903859,9913.751416024752,476.0
1737917574,10,,Aggregated,1.300000,0.000000,8100,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,42,0,8000.0,7801.847335250516,2250.984040903859,9913.751416024752,476.0
1737917575,10,,Aggregated,1.300000,0.000000,8100,8400,8600,8600,9000,9100,9900,9900,9900,9900,9900,42,0,8000.0,7801.847335250516,2250.984040903859,9913.751416024752,476.0
1737917576,10,,Aggregated,1.400000,0.000000,8100,8500,8600,8800,9000,9100,9900,9900,9900,9900,9900,43,0,8100.0,7826.342649151419,2250.984040903859,9913.751416024752,476.0
1737917577,10,,Aggregated,1.100000,0.000000,8100,8500,8600,8800,9000,9100,9900,9900,9900,9900,9900,44,0,8000.0,7826.311295375821,2250.984040903859,9913.751416024752,476.0
1737917578,10,,Aggregated,1.000000,0.000000,8100,8400,8600,8800,9000,9100,9900,9900,9900,9900,9900,45,0,8100.0,7837.998257323892,2250.984040903859,9913.751416024752,476.0
1737917579,10,,Aggregated,1.100000,0.000000,8100,8500,8600,8600,9000,9100,9900,9900,9900,9900,9900,46,0,8100.0,7855.18737220833,2250.984040903859,9913.751416024752,476.0
1737917580,10,,Aggregated,1.100000,0.000000,8100,8500,8600,8600,9000,9100,9900,9900,9900,9900,9900,49,0,8100.0,7873.811982926076,2250.984040903859,9913.751416024752,476.0
1737917581,10,,Aggregated,1.100000,0.000000,8200,8600,8600,8600,9000,9100,9900,9900,9900,9900,9900,50,0,8100.0,7889.318894925527,2250.984040903859,9913.751416024752,476.0
1737917582,10,,Aggregated,1.200000,0.000000,8200,8600,8600,8600,9000,9100,9400,9900,9900,9900,9900,51,0,8200.0,7909.730753181137,2250.984040903859,9913.751416024752,476.0
1737917583,10,,Aggregated,1.400000,0.000000,8200,8600,8600,8800,9000,9100,9400,9900,9900,9900,9900,52,0,8200.0,7927.542150544468,2250.984040903859,9913.751416024752,476.0
1737917584,10,,Aggregated,1.300000,0.000000,8200,8600,8600,8800,9000,9100,9400,9900,9900,9900,9900,53,0,8200.0,7920.351106043079,2250.984040903859,9913.751416024752,476.0
1737917585,10,,Aggregated,1.300000,0.000000,8200,8600,8600,8800,9000,9100,9400,9900,9900,9900,9900,53,0,8200.0,7920.351106043079,2250.984040903859,9913.751416024752,476.0
1737917586,10,,Aggregated,1.100000,0.000000,8200,8600,8600,8800,9000,9100,9400,9900,9900,9900,9900,55,0,8200.0,7940.710353715854,2250.984040903859,9913.751416024752,476.0
1737917587,10,,Aggregated,1.100000,0.000000,8200,8600,8600,8800,9000,9100,9400,9900,9900,9900,9900,57,0,8200.0,7944.154035024296,2250.984040903859,9913.751416024752,476.0
1737917588,10,,Aggregated,1.100000,0.000000,8200,8500,8600,8800,9000,9100,9400,9900,9900,9900,9900,59,0,8200.0,7952.97176476718,2250.984040903859,9913.751416024752,476.0
1737917589,10,,Aggregated,1.100000,0.000000,8200,8500,8600,8800,9000,9100,9400,9900,9900,9900,9900,60,0,8100.0,7954.654470771008,2250.984040903859,9913.751416024752,476.0
1737917590,10,,Aggregated,1.100000,0.000000,8200,8500,8600,8800,9000,9100,9400,9900,9900,9900,9900,60,0,8100.0,7954.654470771008,2250.984040903859,9913.751416024752,476.0
1737917591,10,,Aggregated,1.400000,0.000000,8200,8500,8600,8800,9000,9000,9400,9900,9900,9900,9900,62,0,8100.0,7974.012991877257,2250.984040903859,9913.751416024752,476.0
1737917592,10,,Aggregated,1.500000,0.000000,8100,8500,8600,8800,9000,9000,9400,9900,9900,9900,9900,63,0,8100.0,7974.221509197609,2250.984040903859,9913.751416024752,476.0
1737917593,10,,Aggregated,1.500000,0.000000,8100,8500,8600,8800,9000,9000,9400,9900,9900,9900,9900,63,0,8100.0,7974.221509197609,2250.984040903859,9913.751416024752,476.0
1737917594,10,,Aggregated,1.500000,0.000000,8100,8500,8600,8800,9000,9000,9400,9900,9900,9900,9900,63,0,8100.0,7974.221509197609,2250.984040903859,9913.751416024752,476.0
1737917595,10,,Aggregated,1.100000,0.000000,8200,8500,8600,8800,9000,9100,9400,9900,9900,9900,9900,66,0,8100.0,8000.439000566434,2250.984040903859,9913.751416024752,476.0
