Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,209,0,8400.0,8309.75215484914,2250.984040903859,10300.515832961537,476.0,1.1669507265314787,0.0,8400,8600,8700,8900,9100,9300,9600,9700,10000,10000,10000
,Aggregated,209,0,8400.0,8309.75215484914,2250.984040903859,10300.515832961537,476.0,1.1669507265314787,0.0,8400,8600,8700,8900,9100,9300,9600,9700,10000,10000,10000
