Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralservice/0/3.14159,8,0,16000.0,21730.443448002916,15014.118709019385,47045.18770799041,477.125,0.04601541775858681,0.0,17000,23000,24000,24000,47000,47000,47000,47000,47000,47000,47000
,Aggregated,8,0,16000.0,21730.443448002916,15014.118709019385,47045.18770799041,477.125,0.04601541775858681,0.0,17000,23000,24000,24000,47000,47000,47000,47000,47000,47000,47000
